"PTS","MP","AST","TRB","STL","BLK","TOV","FG.","FT.","eFG.","Pos"
8.22268473546931,20.7,0.9,6,0.6,0.5,1.1,0.485,0.702,0.521,"C"
13.1582676034721,27,2.3,11.5,0.9,1.1,1.9,0.597,0.364,0.597,"C"
21.1775245894161,34.6,3.2,9.2,1.2,0.8,2.5,0.54,0.806,0.541,"C"
8.1244412020319,20.5,1.1,2.1,0.3,0.3,0.7,0.427,0.812,0.532,"G"
8.19303869451631,21.8,1.3,4.8,0.6,0.6,0.8,0.47,0.75,0.56,"F"
5.55611514042263,15,1.8,1.7,0.5,0.4,0.9,0.444,0.667,0.547,"G"
6.47966070960575,14.7,2.1,1.6,0.7,0.4,1.3,0.488,0.692,0.591,"G"
4.29476462469915,15.5,1.4,1.8,0.3,0.3,0.4,0.384,0.619,0.488,"G"
11.9712644195022,27.4,2.3,3.3,0.9,0.2,1,0.44,0.905,0.571,"G"
17.4475216318426,32.6,1.7,9.8,0.8,1.2,1.4,0.644,0.733,0.645,"C"
8.28122178447353,21.5,3,2.3,1.1,0.2,1.3,0.411,0.813,0.496,"G"
12.3776204175938,28.4,4.9,5.3,1.1,0.9,1.5,0.509,0.735,0.553,"F"
23.3649391993164,32.1,5.7,11.8,0.8,0.8,3.9,0.553,0.645,0.572,"F"
2.35814749295282,5.6,0.4,1.2,0.1,0.1,0.3,0.435,0.5,0.435,"F"
12.5597174549265,25.9,3.9,4.8,0.6,0.5,1.5,0.454,0.894,0.516,"G"
19.8822648237917,35.6,2,5,1.9,0.7,2,0.476,0.838,0.556,"F"
0.514382976354714,8.6,1.2,0.8,0.3,0,0.4,0.243,0,0.351,"G"
0,2.4,0.2,0.4,0.2,0,0.1,0.2,0,0.3,"G"
2.87195133129703,16.2,2.3,1.2,0.3,0,0.7,0.25,0,0.359,"G"
12.3973094309074,26.6,2.8,6.4,0.9,0.4,1.6,0.437,0.739,0.497,"F"
17.1200790239275,30.4,1.7,10,0.6,0.8,1.8,0.589,0.76,0.592,"C"
3.8843258855533,10,0.3,3.3,0.2,0.4,0.5,0.819,0.35,0.819,"C"
10.2889727097685,23.6,0.9,6.4,0.5,0.7,1.1,0.529,0.75,0.554,"C"
2.90274251732373,7.3,0.4,1.3,0.2,0.1,0.4,0.394,0.667,0.541,"F"
23.344497688421,35.2,8.4,6.4,1.3,0.3,3.6,0.411,0.836,0.51,"G"
4.93758095979487,15.7,0.9,4.6,0.3,0.9,0.6,0.485,0.661,0.585,"C"
5.43604226020917,17,1.1,4.6,0.3,1,0.6,0.495,0.686,0.596,"C"
4.36629891346313,9.8,0.4,4.6,0.1,0.6,0.9,0.407,0.545,0.5,"C"
21.6894243064056,33.8,3.7,6.9,0.8,0.5,2.8,0.427,0.738,0.465,"F"
18.2414790470778,31.7,4.4,5,1,0.4,2.2,0.479,0.883,0.568,"G"
3.70467209218074,9,1.2,1.5,0.4,0.4,0.6,0.423,0.708,0.481,"G"
4.86950922053273,14.6,0.9,3.6,0.4,0.7,0.5,0.535,0.72,0.535,"F"
16.1768120611641,32.5,1.6,4.5,0.7,0.1,1,0.473,0.847,0.556,"F"
19.2846625928549,34.8,4.8,6.6,1.1,0.8,2,0.456,0.772,0.487,"F"
21.2954772505948,33.9,2.8,5,0.4,0.2,2.2,0.434,0.74,0.485,"G"
6.56154844327295,17.7,2,2.4,0.5,0.2,0.9,0.379,0.787,0.47,"G"
8.0606615013442,19.6,2.4,2.8,0.4,0.3,1.1,0.386,0.778,0.477,"G"
3.30689263760049,13.2,1.1,1.6,0.7,0.2,0.2,0.354,1,0.443,"G"
6.38466253001114,14.5,1.3,5.5,0.5,0.9,1.2,0.644,0.595,0.656,"C"
8.06940073245705,21.7,1.5,3.7,0.7,0.3,0.8,0.508,0.793,0.568,"F"
6.96170065345192,21.9,1.6,3.8,0.7,0.6,0.6,0.42,0.708,0.583,"F"
4.11385074861033,14.3,0.9,3.2,0.5,0.8,0.6,0.454,0.543,0.508,"F"
4.47909070555812,15.4,0.9,3.4,0.5,0.8,0.6,0.449,0.554,0.506,"F"
3.09322026370863,8.7,0.9,2.3,0.4,0.7,0.7,0.48,0.4,0.52,"F"
21.7482216552465,33.5,5.4,3.9,0.9,0.7,2.9,0.506,0.842,0.551,"G"
11.1678687984152,25.8,1.5,3.5,0.8,0.1,1.1,0.395,0.769,0.52,"G"
11.9630775952736,26.8,1.7,3.6,0.8,0.1,1.1,0.396,0.841,0.522,"G"
9.98126273454776,23.9,1.2,3.3,0.8,0,1.2,0.392,0.619,0.515,"G"
5.31595149661803,13.5,0.7,2.2,0.4,0.1,0.9,0.395,0.73,0.492,"F"
3.4036061901491,10.9,0.5,1.2,0.2,0.2,0.2,0.431,0.867,0.603,"F"
10.5952868113454,27.1,2.9,3.7,0.9,0.6,0.9,0.4,0.723,0.511,"G"
10.7139422792974,26.9,2.6,3.1,0.9,0.6,0.9,0.402,0.78,0.517,"G"
9.65418235241088,27.5,3.5,4.9,1,0.7,0.8,0.395,0.533,0.5,"G"
11.5715287075412,27.6,1.5,4.7,0.9,0.2,0.9,0.422,0.861,0.513,"F"
12.4729226207563,28.8,1.6,4.7,1,0.2,1,0.404,0.861,0.488,"F"
9.72229562854857,25.2,1.4,4.8,0.8,0,0.7,0.47,0.862,0.578,"F"
3.41519622043587,8.1,0.4,1.3,0.3,0.3,0.4,0.594,0.8,0.609,"C"
3.54922860323032,12,1,3.6,0.4,0.7,0.6,0.552,0.548,0.576,"C"
